Unnamed: 0,Equation Number,eqn,soln,metrics
183,230,"(1 + ((-2) / x)) = 3
","(1 + ((-2) / x)) = 3
|((-2) / x) = 2|(((-2) / x) * (-2)) = (2 * (-2))|((-2) * ((-2) / x)) = (2 * (-2))|(((-2) * ((-2) / x)) * (-2)) = ((2 * (-2)) * (-2))|((-2) * ((-2) * ((-2) / x))) = ((2 * (-2)) * (-2))|(((-2) * (-2)) * ((-2) / x)) = ((2 * (-2)) * (-2))|((((-2) * (-2)) * (-2)) / x) = ((2 * (-2)) * (-2))|((((-2) * (-2)) * (-2)) / x) = (((-2) * 2) * (-2))|(((-2) * ((-2) * (-2))) / x) = (((-2) * 2) * (-2))|(((-2) * 2) * (-2)) = (((-2) * ((-2) * (-2))) / x)|((-2) * ((-2) * 2)) = (((-2) * ((-2) * (-2))) / x)|((-2) * ((-2) * 2)) = ((((-2) * (-2)) * (-2)) / x)|((-2) * (-4)) = ((((-2) * (-2)) * (-2)) / x)|((-2) * (-4)) = (((-2) * (-2)) * ((-2) / x))|(((-2) * (-4)) * x) = ((((-2) * (-2)) * ((-2) / x)) * x)|(((-2) * (-4)) * x) = (x * (((-2) * (-2)) * ((-2) / x)))|(((-2) * (-4)) * x) = (x * ((((-2) * (-2)) * (-2)) / x))|(((-2) * (-4)) * x) = ((x * (((-2) * (-2)) * (-2))) / x)|(((-2) * (-4)) * x) = (((((-2) * (-2)) * (-2)) * x) / x)|(((-2) * (-4)) * x) = ((((-2) * (-2)) * (-2)) * (x / x))|(((-2) * (-4)) * x) = ((((-2) * (-2)) * (-2)) * 1)|8x = ((((-2) * (-2)) * (-2)) * 1)|8x = ((-8) * 1)|8x = (-8)|x = (-1)",49
184,231,"-1x = ((2x - 3) - 4)
","-1x = ((2x - 3) - 4)
|-1x = ((2x + (-3)) - 4)|-1x = (2x + ((-3) - 4))|-3x = (((-3) - 4) + 0)|-3x = (-7)|x = [7/3]",9
185,232,"((-1) + 2x) = (-3x - 4)
","((-1) + 2x) = (-3x - 4)
|(2x + (-1)) = (-3x - 4)|((2x + (-1)) - (-1)) = ((-3x - 4) - (-1))|((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|2x = ((-3x + (-4)) - (-1))|2x = (-3x + ((-4) - (-1)))|5x = (((-4) - (-1)) + 0)|5x = (-3)|x = ([-3/5])",16
186,233,"(-1x + (-2)) = (3 + -4x)
","(-1x + (-2)) = (3 + -4x)
|(-1x + (-2)) = (-4x + 3)|((-1x + (-2)) - (-2)) = ((-4x + 3) - (-2))|-1x = ((-4x + 3) - (-2))|-1x = (-4x + (3 - (-2)))|3x = ((3 - (-2)) + 0)|3x = 5|x = [5/3]",15
187,234,"(-1) = (((-2) - 3x) + 4x)
","(-1) = (((-2) - 3x) + 4x)
|((-1) - (-2)) = ((((-2) - 3x) + 4x) - (-2))|((-1) - (-2)) = ((((-2) + -3x) + 4x) - (-2))|1 = ((((-2) + -3x) + 4x) - (-2))|1 = ((4x + ((-2) + -3x)) - (-2))|1 = ((4x + (-3x + (-2))) - (-2))|1 = (((4x + -3x) + (-2)) - (-2))|1 = (4x + -3x)|1 = ((4 + (-3)) * x)|((4 + (-3)) * x) = 1|1x = 1|x = 1",25
188,235,"(-1) = 2x
","(-1) = 2x
|2x = (-1)|x = ([-1/2])",3
189,236,"(-1) = -2x
","(-1) = -2x
|-2x = (-1)|x = [1/2]",3
190,237,"-1x = (((-2) + -3x) - 4)
","-1x = (((-2) + -3x) - 4)
|-1x = ((-3x + (-2)) - 4)|-1x = (-3x + ((-2) - 4))|2x = (((-2) - 4) + 0)|2x = (-6)|x = (-3)",8
191,240,"((1 + 2x) + 3x) = 4
","((1 + 2x) + 3x) = 4
|(3x + (1 + 2x)) = 4|(3x + (2x + 1)) = 4|4 = (3x + (2x + 1))|4 = ((3x + 2x) + 1)|4 = (((3 + 2) * x) + 1)|4 = (5x + 1)|(5x + 1) = 4|5x = 3|x = [3/5]",19
192,241,"(1 + 2x) = ((-3) + -4x)
","(1 + 2x) = ((-3) + -4x)
|(2x + 1) = ((-3) + -4x)|((2x + 1) - 1) = (((-3) + -4x) - 1)|((2x + 1) - 1) = ((-4x + (-3)) - 1)|2x = ((-4x + (-3)) - 1)|2x = (-4x + ((-3) - 1))|6x = (((-3) - 1) + 0)|6x = (-4)|x = ([-2/3])",16
193,242,"1x = (-2x + 3)
","1x = (-2x + 3)
|3x = (3 + 0)|3x = 3|x = 1",4
194,243,"(1x + 2) = (3 + -4x)
","(1x + 2) = (3 + -4x)
|(1x + 2) = (-4x + 3)|((1x + 2) - 2) = ((-4x + 3) - 2)|1x = ((-4x + 3) - 2)|1x = (-4x + (3 - 2))|5x = ((3 - 2) + 0)|5x = 1|x = [1/5]",15
195,244,"(1 / (-2)) = x
","(1 / (-2)) = x
|x = (1 / (-2))|x = ([-1/2])",3
196,245,"(-1x + 2) = (-3x + (-4))
","(-1x + 2) = (-3x + (-4))
|((-1x + 2) - 2) = ((-3x + (-4)) - 2)|-1x = ((-3x + (-4)) - 2)|-1x = (-3x + ((-4) - 2))|2x = (((-4) - 2) + 0)|2x = (-6)|x = (-3)",13
197,247,"(-1x - 2x) = ((-3) + 4)
","(-1x - 2x) = ((-3) + 4)
|(((-1) - 2) * x) = ((-3) + 4)|-3x = ((-3) + 4)|-3x = 1|x = ([-1/3])",10
198,248,"((-1x + 2) + 3) = -4x
","((-1x + 2) + 3) = -4x
|-4x = ((-1x + 2) + 3)|-4x = (-1x + (2 + 3))|-3x = ((2 + 3) + 0)|-3x = 5|x = ([-5/3])",12
199,249,"(1 + -2x) = (3 + -4x)
","(1 + -2x) = (3 + -4x)
|(1 + -2x) = (-4x + 3)|(-2x + 1) = (-4x + 3)|((-2x + 1) - 1) = ((-4x + 3) - 1)|-2x = ((-4x + 3) - 1)|-2x = (-4x + (3 - 1))|2x = ((3 - 1) + 0)|2x = 2|x = 1",15
200,250,"-1x = ((-2) + 3x)
","-1x = ((-2) + 3x)
|-1x = (3x + (-2))|-4x = ((-2) + 0)|-4x = (-2)|x = [1/2]",6
201,251,"((-1) + 2x) = (3 + -4x)
","((-1) + 2x) = (3 + -4x)
|(2x + (-1)) = (3 + -4x)|(2x + (-1)) = (-4x + 3)|((2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|2x = ((-4x + 3) - (-1))|2x = (-4x + (3 - (-1)))|6x = ((3 - (-1)) + 0)|6x = 4|x = [2/3]",16
202,252,"(1x + (-2)) = (3x + 4)
","(1x + (-2)) = (3x + 4)
|((1x + (-2)) - (-2)) = ((3x + 4) - (-2))|1x = ((3x + 4) - (-2))|1x = (3x + (4 - (-2)))|-2x = ((4 - (-2)) + 0)|-2x = 6|x = (-3)",13
203,253,"-1x = 2
","-1x = 2
|x = (-2)",1
204,254,"(-1x + (-2)) = (-3x + 4)
","(-1x + (-2)) = (-3x + 4)
|((-1x + (-2)) - (-2)) = ((-3x + 4) - (-2))|-1x = ((-3x + 4) - (-2))|-1x = (-3x + (4 - (-2)))|2x = ((4 - (-2)) + 0)|2x = 6|x = 3",13
205,255,"((-1) / (-2)) = x
","((-1) / (-2)) = x
|x = ((-1) / (-2))|x = [1/2]",3
206,257,"((-1) + -2x) = 3
","((-1) + -2x) = 3
|-2x = 4|x = (-2)",3
207,258,"((-1) - 2) = ((-3x + 4) - 5)
","((-1) - 2) = ((-3x + 4) - 5)
|((-3x + 4) - 5) = ((-1) - 2)|((-3x + 4) - 5) = (-3)|(-3x + 4) = 2|-3x = (-2)|x = [2/3]",10
208,259,"(-1x - 2) = 3x
","(-1x - 2) = 3x
|3x = (-1x - 2)|3x = (-1x + (-2))|4x = ((-2) + 0)|4x = (-2)|x = ([-1/2])",8
209,261,"1x = ((-2) - 3)
","1x = ((-2) - 3)
|1x = (-5)|x = (-5)",3
210,262,"(1x - 2) = (3x - 4)
","(1x - 2) = (3x - 4)
|(1x + (-2)) = (3x - 4)|((1x + (-2)) - (-2)) = ((3x - 4) - (-2))|1x = ((3x - 4) - (-2))|1x = ((3x + (-4)) - (-2))|1x = (3x + ((-4) - (-2)))|-2x = (((-4) - (-2)) + 0)|-2x = (-2)|x = 1",15
211,263,"(-1x + 2x) = ((-3) - 4)
","(-1x + 2x) = ((-3) - 4)
|(((-1) + 2) * x) = ((-3) - 4)|1x = ((-3) - 4)|1x = (-7)|x = (-7)",9
212,264,"(-1) = (2x + (-3))
","(-1) = (2x + (-3))
|(2x + (-3)) = (-1)|2x = 2|x = 1",5
213,265,"(1x - 2) = (-3)
","(1x - 2) = (-3)
|1x = (-1)|x = (-1)",3
214,266,"(1x + (-2)) = 3
","(1x + (-2)) = 3
|x = 5",2
215,267,"(((-1) - 2x) - 3) = 4x
","(((-1) - 2x) - 3) = 4x
|4x = (((-1) - 2x) - 3)|4x = (((-1) + -2x) - 3)|4x = ((-2x + (-1)) - 3)|4x = (-2x + ((-1) - 3))|6x = (((-1) - 3) + 0)|6x = (-4)|x = ([-2/3])",14
216,268,"(((1 / x) * x) + 2x) = 3x
","(((1 / x) * x) + 2x) = 3x
|3x = (((1 / x) * x) + 2x)|3x = (((1 / x) + 2) * x)|3x = (x * ((1 / x) + 2))|(3x + 1) = ((x * ((1 / x) + 2)) + 1)|((3x + 1) - 1) = (((x * ((1 / x) + 2)) + 1) - 1)|3x = (((x * ((1 / x) + 2)) + 1) - 1)|(3x * 1) = ((((x * ((1 / x) + 2)) + 1) - 1) * 1)|3x = ((((x * ((1 / x) + 2)) + 1) - 1) * 1)|3x = (1 * (((x * ((1 / x) + 2)) + 1) - 1))|(x * 3) = (1 * (((x * ((1 / x) + 2)) + 1) - 1))|(x * 3) = (1 * (((((1 / x) + 2) * x) + 1) - 1))|(x * 3) = ((((((1 / x) + 2) * x) + 1) - 1) * 1)|(x * 3) = ((((1 / x) + 2) * x) * 1)|3x = ((((1 / x) + 2) * x) * 1)|3x = (1 * (((1 / x) + 2) * x))|3x = (1 * ((2 + (1 / x)) * x))|3x = (1 * (2x + ((1 / x) * x)))|3x = (1 * (2x + (x * (1 / x))))|3x = (1 * (2x + ((x * 1) / x)))|3x = (1 * (2x + (1x / x)))|3x = (1 * (2x + (1 * (x / x))))|3x = (1 * (2x + (1 * 1)))|3x = (2x + (1 * 1))|1x = ((1 * 1) + 0)|1x = 1|x = 1",71
217,269,"(((-1) - 2x) + 3x) = 4
","(((-1) - 2x) + 3x) = 4
|(3x + ((-1) - 2x)) = 4|(3x + ((-1) + -2x)) = 4|(3x + (-2x + (-1))) = 4|((3x + -2x) + (-1)) = 4|(((3 + (-2)) * x) + (-1)) = 4|(1x + (-1)) = 4|x = 5",14
218,270,"(-1x + 2) = ((-3) - 4x)
","(-1x + 2) = ((-3) - 4x)
|((-1x + 2) - 2) = (((-3) - 4x) - 2)|-1x = (((-3) - 4x) - 2)|-1x = (((-3) + -4x) - 2)|-1x = ((-4x + (-3)) - 2)|-1x = (-4x + ((-3) - 2))|3x = (((-3) - 2) + 0)|3x = (-5)|x = ([-5/3])",16
219,271,"x = ((-1) / (-2))
","x = ((-1) / (-2))
|x = [1/2]",1
220,272,"(1x + (-2)) = (-3)
","(1x + (-2)) = (-3)
|x = (-1)",2
221,273,"x = ((-1) / 2)
","x = ((-1) / 2)
|x = ([-1/2])",1
222,275,"((-1x - 2) - 3x) = 4
","((-1x - 2) - 3x) = 4
|((-1x - 3x) - 2) = 4|(-1x - 3x) = 6|(((-1) - 3) * x) = 6|-4x = 6|x = ([-3/2])",11
223,276,"1x = (2x - 3)
","1x = (2x - 3)
|1x = (2x + (-3))|-1x = ((-3) + 0)|-1x = (-3)|x = 3",5
224,277,"((-1x - 1x) + 2) = (-3)
","((-1x - 1x) + 2) = (-3)
|((((-1) - 1) * x) + 2) = (-3)|(((-1) - 1) * x) = (-5)|-2x = (-5)|x = [5/2]",10
225,278,"(1x - -2x) = ((-3x + 4) - -5x)
","(1x - -2x) = ((-3x + 4) - -5x)
|((1 - (-2)) * x) = ((-3x + 4) - -5x)|((1 - (-2)) * x) = ((-3x + 4) + 5x)|3x = ((-3x + 4) + 5x)|3x = (5x + (-3x + 4))|-2x = ((-3x + 4) + 0)|-2x = (-3x + 4)|1x = (4 + 0)|1x = 4|x = 4",17
226,279,"1x = ((2x - 3) - 4)
","1x = ((2x - 3) - 4)
|1x = ((2x + (-3)) - 4)|1x = (2x + ((-3) - 4))|-1x = (((-3) - 4) + 0)|-1x = (-7)|x = 7",8
227,280,"(1 - 2x) = (3x - 4)
","(1 - 2x) = (3x - 4)
|(1 + -2x) = (3x - 4)|(-2x + 1) = (3x - 4)|((-2x + 1) - 1) = ((3x - 4) - 1)|((-2x + 1) - 1) = ((3x + (-4)) - 1)|-2x = ((3x + (-4)) - 1)|-2x = (3x + ((-4) - 1))|-5x = (((-4) - 1) + 0)|-5x = (-5)|x = 1",16
228,281,"-1x = ((2 - 3x) + 4)
","-1x = ((2 - 3x) + 4)
|-1x = ((2 + -3x) + 4)|-1x = ((-3x + 2) + 4)|-1x = (-3x + (2 + 4))|2x = ((2 + 4) + 0)|2x = 6|x = 3",9
229,282,"((-1) + 2x) = (-3x + 4)
","((-1) + 2x) = (-3x + 4)
|(2x + (-1)) = (-3x + 4)|((2x + (-1)) - (-1)) = ((-3x + 4) - (-1))|2x = ((-3x + 4) - (-1))|2x = (-3x + (4 - (-1)))|5x = ((4 - (-1)) + 0)|5x = 5|x = 1",14
230,283,x = (1 / 2),x = (1 / 2)|x = [1/2],1
