Unnamed: 0,Equation Number,eqn,soln,metrics
76,97,"((-1x - 2) - 3x) = (-4)
","((-1x - 2) - 3x) = (-4)
|((-1x - 3x) - 2) = (-4)|((((-1) - 3) * x) - 2) = (-4)|((((-1) - 3) * x) + (-2)) = (-4)|(((((-1) - 3) * x) + (-2)) - (-2)) = ((-4) - (-2))|((((-1) - 3) * x) + ((-2) - (-2))) = ((-4) - (-2))|(-4x + ((-2) - (-2))) = ((-4) - (-2))|(-4x + 0) = ((-4) - (-2))|-4x = ((-4) - (-2))|(x * (-4)) = ((-4) - (-2))|((x * (-4)) / (-4)) = (((-4) - (-2)) / (-4))|(x * ((-4) / (-4))) = (((-4) - (-2)) / (-4))|(x * ((-4) / (-4))) = ((-2) / (-4))|(x * 1) = ((-2) / (-4))|x = ((-2) / (-4))|x = [1/2]",27
77,98,"-1x = ((-2) - 3)
","-1x = ((-2) - 3)
|(x * (-1)) = ((-2) - 3)|((x * (-1)) * (-1)) = (((-2) - 3) * (-1))|(x * ((-1) * (-1))) = (((-2) - 3) * (-1))|(x * 1) = (((-2) - 3) * (-1))|x = (((-2) - 3) * (-1))|x = ((-5) * (-1))|x = 5",13
78,99,"(-1) = ((-2) + (3 / x))
","(-1) = ((-2) + (3 / x))
|(-1) = ((3 / x) + (-2))|((-1) - (-2)) = (((3 / x) + (-2)) - (-2))|1 = (((3 / x) + (-2)) - (-2))|1x = ((((3 / x) + (-2)) - (-2)) * x)|1x = (x * (((3 / x) + (-2)) - (-2)))|x = (x * (((3 / x) + (-2)) - (-2)))|x = (x * ((3 / x) + ((-2) - (-2))))|x = (x * ((3 / x) + 0))|x = (x * (3 / x))|x = ((x * 3) / x)|x = (3x / x)|x = (3 * (x / x))|x = (3 * 1)|x = 3",29
79,100,"x = (((-1) + 2) / 3)
","x = (((-1) + 2) / 3)
|x = (1 / 3)|x = [1/3]",3
80,101,"((1 + 2x) - 3) = -4x
","((1 + 2x) - 3) = -4x
|(((1 + 2x) - 3) - 2x) = (-4x - 2x)|(-4x - 2x) = (((1 + 2x) - 3) - 2x)|(((-4) - 2) * x) = (((1 + 2x) - 3) - 2x)|(((-4) - 2) * x) = (((1 + 2x) - 2x) - 3)|(((-4) - 2) * x) = ((1 + (2x - 2x)) - 3)|(((-4) - 2) * x) = ((1 + 0) - 3)|(((-4) - 2) * x) = (1 - 3)|-6x = (1 - 3)|(x * (-6)) = (1 - 3)|((x * (-6)) / (-6)) = ((1 - 3) / (-6))|(x * ((-6) / (-6))) = ((1 - 3) / (-6))|(x * 1) = ((1 - 3) / (-6))|x = ((1 - 3) / (-6))|x = ((-2) / (-6))|x = [1/3]",30
81,102,"-1x = ((2 / x) * x)
","-1x = ((2 / x) * x)
|(-1x * (-1)) = (((2 / x) * x) * (-1))|(-1x * (-1)) = ((x * (2 / x)) * (-1))|((x * (2 / x)) * (-1)) = (-1x * (-1))|((x * (2 / x)) * (-1)) = ((-1) * -1x)|(((x * 2) / x) * (-1)) = ((-1) * -1x)|((2x / x) * (-1)) = ((-1) * -1x)|((2 * (x / x)) * (-1)) = ((-1) * -1x)|((2 * (x / x)) * (-1)) = (((-1) * (-1)) * x)|((2 * (x / x)) * (-1)) = 1x|((2 * (x / x)) * (-1)) = x|x = ((2 * (x / x)) * (-1))|x = ((2 * 1) * (-1))|x = (2 * (-1))|x = (-2)",32
82,103,"((-1) - 2) = (3x - 4x)
","((-1) - 2) = (3x - 4x)
|(3x - 4x) = ((-1) - 2)|((3 - 4) * x) = ((-1) - 2)|-1x = ((-1) - 2)|(x * (-1)) = ((-1) - 2)|((x * (-1)) * (-1)) = (((-1) - 2) * (-1))|(x * ((-1) * (-1))) = (((-1) - 2) * (-1))|(x * 1) = (((-1) - 2) * (-1))|x = (((-1) - 2) * (-1))|x = ((-3) * (-1))|x = 3",20
83,104,"1 = (((-2) / x) + 3)
","1 = (((-2) / x) + 3)
|(1 - 3) = ((((-2) / x) + 3) - 3)|(-2) = ((((-2) / x) + 3) - 3)|((-2) / (-2)) = (((((-2) / x) + 3) - 3) / (-2))|(((-2) / (-2)) * x) = ((((((-2) / x) + 3) - 3) / (-2)) * x)|1x = ((((((-2) / x) + 3) - 3) / (-2)) * x)|x = ((((((-2) / x) + 3) - 3) / (-2)) * x)|x = (((((-2) / x) + (3 - 3)) / (-2)) * x)|x = (((((-2) / x) + 0) / (-2)) * x)|x = ((((-2) / x) / (-2)) * x)|x = (x * (((-2) / x) / (-2)))|x = ((x * ((-2) / x)) / (-2))|x = (((x * (-2)) / x) / (-2))|x = ((-2x / x) / (-2))|x = (((-2) * (x / x)) / (-2))|x = (((-2) * 1) / (-2))|x = ((-2) / (-2))|x = 1",37
84,105,"1x = 2
","1x = 2
|x = 2",1
85,106,"(1 - 2) = 3x
","(1 - 2) = 3x
|3x = (1 - 2)|(x * 3) = (1 - 2)|(x * 3) = (-1)|((x * 3) / 3) = ((-1) / 3)|(x * (3 / 3)) = ((-1) / 3)|(x * 1) = ((-1) / 3)|x = ((-1) / 3)|x = ([-1/3])",14
86,107,"(1x + 2) = ((-3) + 4x)
","(1x + 2) = ((-3) + 4x)
|((1x + 2) - 2) = (((-3) + 4x) - 2)|(((1x + 2) - 2) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + (2 - 2)) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + 0) - 4x) = ((((-3) + 4x) - 2) - 4x)|((1x + 0) - 4x) = ((((-3) + 4x) - 4x) - 2)|((1x + 0) - 4x) = (((-3) + (4x - 4x)) - 2)|((1x + 0) - 4x) = (((-3) + 0) - 2)|((1x + 0) - 4x) = ((-3) - 2)|(1x - 4x) = ((-3) - 2)|((1 - 4) * x) = ((-3) - 2)|-3x = ((-3) - 2)|(x * (-3)) = ((-3) - 2)|((x * (-3)) / (-3)) = (((-3) - 2) / (-3))|(x * ((-3) / (-3))) = (((-3) - 2) / (-3))|(x * 1) = (((-3) - 2) / (-3))|x = (((-3) - 2) / (-3))|x = ((-5) / (-3))|x = [5/3]",33
87,108,"(-1x + 2) = ((-3) + -4x)
","(-1x + 2) = ((-3) + -4x)
|((-1x + 2) - 2) = (((-3) + -4x) - 2)|(((-1x + 2) - 2) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + (2 - 2)) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - -4x) - 2)|((-1x + 0) - -4x) = (((-3) + (-4x - -4x)) - 2)|((-1x + 0) - -4x) = (((-3) + 0) - 2)|((-1x + 0) - -4x) = ((-3) - 2)|(-1x - -4x) = ((-3) - 2)|(((-1) - (-4)) * x) = ((-3) - 2)|3x = ((-3) - 2)|(x * 3) = ((-3) - 2)|((x * 3) / 3) = (((-3) - 2) / 3)|(x * (3 / 3)) = (((-3) - 2) / 3)|(x * 1) = (((-3) - 2) / 3)|x = (((-3) - 2) / 3)|x = ((-5) / 3)|x = ([-5/3])",33
88,109,"((-1) + 2) = 3x
","((-1) + 2) = 3x
|3x = ((-1) + 2)|(x * 3) = ((-1) + 2)|((x * 3) / 3) = (((-1) + 2) / 3)|(x * (3 / 3)) = (((-1) + 2) / 3)|(x * 1) = (((-1) + 2) / 3)|x = (((-1) + 2) / 3)|x = (1 / 3)|x = [1/3]",14
89,110,"((-1) + -2x) = (3 + 4x)
","((-1) + -2x) = (3 + 4x)
|(((-1) + -2x) - 4x) = ((3 + 4x) - 4x)|((3 + 4x) - 4x) = (((-1) + -2x) - 4x)|(3 + (4x - 4x)) = (((-1) + -2x) - 4x)|(3 + ((4 - 4) * x)) = (((-1) + -2x) - 4x)|(3 + ((4 - 4) * x)) = ((-1) + (-2x - 4x))|(3 + ((4 - 4) * x)) = ((-2x - 4x) + (-1))|(3 + ((4 - 4) * x)) = ((((-2) - 4) * x) + (-1))|(3 + (4x - 4x)) = ((((-2) - 4) * x) + (-1))|((3 + (4x - 4x)) - (-1)) = (((((-2) - 4) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = (((((-2) - 4) * x) + (-1)) - (-1))|((3 + 0) - (-1)) = ((((-2) - 4) * x) + ((-1) - (-1)))|((3 + 0) - (-1)) = ((((-2) - 4) * x) + 0)|((((-2) - 4) * x) + 0) = ((3 + 0) - (-1))|((((-2) - 4) * x) + 0) = (3 - (-1))|(((-2) - 4) * x) = (3 - (-1))|-6x = (3 - (-1))|(x * (-6)) = (3 - (-1))|((x * (-6)) / (-6)) = ((3 - (-1)) / (-6))|(x * ((-6) / (-6))) = ((3 - (-1)) / (-6))|(x * 1) = ((3 - (-1)) / (-6))|x = ((3 - (-1)) / (-6))|x = (4 / (-6))|x = ([-2/3])",41
90,111,"-1x = (2 + 3)
","-1x = (2 + 3)
|(x * (-1)) = (2 + 3)|(x * (-1)) = 5|((x * (-1)) / (-1)) = (5 / (-1))|(x * ((-1) / (-1))) = (5 / (-1))|(x * 1) = (5 / (-1))|x = (5 / (-1))|x = (-5)",13
91,113,"(1 + 2x) = 3
","(1 + 2x) = 3
|(2x + 1) = 3|((2x + 1) - 1) = (3 - 1)|(2x + (1 - 1)) = (3 - 1)|(2x + 0) = (3 - 1)|2x = (3 - 1)|(x * 2) = (3 - 1)|(x * 2) = 2|((x * 2) / 2) = (2 / 2)|(x * (2 / 2)) = (2 / 2)|(x * 1) = (2 / 2)|x = (2 / 2)|x = 1",21
92,114,"(((-1) / x) * x) = 2x
","(((-1) / x) * x) = 2x
|((((-1) / x) * x) / 2) = (2x / 2)|((x * ((-1) / x)) / 2) = (2x / 2)|((x * ((-1) / x)) / 2) = ((x * 2) / 2)|(((x * (-1)) / x) / 2) = ((x * 2) / 2)|((-1x / x) / 2) = ((x * 2) / 2)|((x * 2) / 2) = ((-1x / x) / 2)|((x * 2) / 2) = (((-1) * (x / x)) / 2)|((x * 2) / 2) = (((-1) * 1) / 2)|((x * 2) / 2) = ((-1) / 2)|(x * (2 / 2)) = ((-1) / 2)|(x * 1) = ((-1) / 2)|x = ((-1) / 2)|x = ([-1/2])",21
93,115,"((-1) + 2x) = (-3)
","((-1) + 2x) = (-3)
|(((-1) + 2x) - (-1)) = ((-3) - (-1))|((2x + (-1)) - (-1)) = ((-3) - (-1))|(2x + ((-1) - (-1))) = ((-3) - (-1))|(2x + 0) = ((-3) - (-1))|2x = ((-3) - (-1))|(2x / 2) = (((-3) - (-1)) / 2)|((x * 2) / 2) = (((-3) - (-1)) / 2)|(x * (2 / 2)) = (((-3) - (-1)) / 2)|(x * 1) = (((-3) - (-1)) / 2)|x = (((-3) - (-1)) / 2)|x = ((-2) / 2)|x = (-1)",21
94,116,"(1 + 2x) = (-3x + 4)
","(1 + 2x) = (-3x + 4)
|(-3x + 4) = (1 + 2x)|((-3x + 4) - 4) = ((1 + 2x) - 4)|(-3x + (4 - 4)) = ((1 + 2x) - 4)|(-3x + 0) = ((1 + 2x) - 4)|((-3x + 0) - 2x) = (((1 + 2x) - 4) - 2x)|((-3x + 0) - 2x) = (((1 + 2x) - 2x) - 4)|((-3x + 0) - 2x) = ((1 + (2x - 2x)) - 4)|((-3x + 0) - 2x) = ((1 + 0) - 4)|(-3x - 2x) = ((1 + 0) - 4)|(((-3) - 2) * x) = ((1 + 0) - 4)|(((-3) - 2) * x) = (1 - 4)|-5x = (1 - 4)|(x * (-5)) = (1 - 4)|(x * (-5)) = (-3)|((x * (-5)) / (-5)) = ((-3) / (-5))|(x * ((-5) / (-5))) = ((-3) / (-5))|(x * 1) = ((-3) / (-5))|x = ((-3) / (-5))|x = [3/5]",34
95,117,"((-1) - 2) = (((3 / x) + 4) - 5)
","((-1) - 2) = (((3 / x) + 4) - 5)
|((-1) - 2) = ((4 + (3 / x)) - 5)|(-3) = ((4 + (3 / x)) - 5)|(-3) = (4 + ((3 / x) - 5))|(-3) = (4 + ((3 / x) + (-5)))|(-3) = (((3 / x) + (-5)) + 4)|(-3) = ((3 / x) + ((-5) + 4))|(-3) = ((3 / x) + (-1))|((-3) - (-1)) = (((3 / x) + (-1)) - (-1))|(-2) = (((3 / x) + (-1)) - (-1))|((-2) / (-2)) = ((((3 / x) + (-1)) - (-1)) / (-2))|(((-2) / (-2)) * x) = (((((3 / x) + (-1)) - (-1)) / (-2)) * x)|1x = (((((3 / x) + (-1)) - (-1)) / (-2)) * x)|x = (((((3 / x) + (-1)) - (-1)) / (-2)) * x)|x = ((((3 / x) + ((-1) - (-1))) / (-2)) * x)|x = ((((3 / x) + 0) / (-2)) * x)|x = (x * (((3 / x) + 0) / (-2)))|x = ((x * ((3 / x) + 0)) / (-2))|x = ((x * (3 / x)) / (-2))|x = (((x * 3) / x) / (-2))|x = ((3x / x) / (-2))|x = ((3 * (x / x)) / (-2))|x = ((3 * 1) / (-2))|x = (3 / (-2))|x = ([-3/2])",51
96,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|((-1x + 2) - -1x) = (3x - -1x)|((-1x + 2) - -1x) = ((3 - (-1)) * x)|((2 + -1x) - -1x) = ((3 - (-1)) * x)|(2 + (-1x - -1x)) = ((3 - (-1)) * x)|((3 - (-1)) * x) = (2 + (-1x - -1x))|4x = (2 + (-1x - -1x))|(x * 4) = (2 + (-1x - -1x))|((x * 4) / 4) = ((2 + (-1x - -1x)) / 4)|((x * 4) / 4) = ((2 + 0) / 4)|(x * (4 / 4)) = ((2 + 0) / 4)|(x * 1) = ((2 + 0) / 4)|x = ((2 + 0) / 4)|x = (2 / 4)|x = [1/2]",26
97,120,"1 = (2 + 3x)
","1 = (2 + 3x)
|(1 - 2) = ((2 + 3x) - 2)|(1 - 2) = ((3x + 2) - 2)|((3x + 2) - 2) = (1 - 2)|(3x + (2 - 2)) = (1 - 2)|(3x + 0) = (1 - 2)|3x = (1 - 2)|(x * 3) = (1 - 2)|(x * 3) = (-1)|((x * 3) / 3) = ((-1) / 3)|(x * (3 / 3)) = ((-1) / 3)|(x * 1) = ((-1) / 3)|x = ((-1) / 3)|x = ([-1/3])",22
98,122,"-1x = (((-2) + 3x) + 4)
","-1x = (((-2) + 3x) + 4)
|-1x = (4 + ((-2) + 3x))|-1x = ((4 + (-2)) + 3x)|(-1x - 3x) = (((4 + (-2)) + 3x) - 3x)|(((-1) - 3) * x) = (((4 + (-2)) + 3x) - 3x)|-4x = (((4 + (-2)) + 3x) - 3x)|-4x = ((4 + (-2)) + (3x - 3x))|-4x = ((4 + (-2)) + 0)|(-4x / (-4)) = (((4 + (-2)) + 0) / (-4))|((x * (-4)) / (-4)) = (((4 + (-2)) + 0) / (-4))|(x * ((-4) / (-4))) = (((4 + (-2)) + 0) / (-4))|(x * 1) = (((4 + (-2)) + 0) / (-4))|x = (((4 + (-2)) + 0) / (-4))|x = ((2 + 0) / (-4))|x = (2 / (-4))|x = ([-1/2])",29
99,123,"(-1) = ((-2) + 3x)
","(-1) = ((-2) + 3x)
|((-1) - (-2)) = (((-2) + 3x) - (-2))|((-1) - (-2)) = ((3x + (-2)) - (-2))|((-1) - (-2)) = (3x + ((-2) - (-2)))|((-1) - (-2)) = ((x * 3) + ((-2) - (-2)))|(((-1) - (-2)) / 3) = (((x * 3) + ((-2) - (-2))) / 3)|(((-1) - (-2)) / 3) = (((x * 3) + 0) / 3)|(((x * 3) + 0) / 3) = (((-1) - (-2)) / 3)|((x * 3) / 3) = (((-1) - (-2)) / 3)|(x * (3 / 3)) = (((-1) - (-2)) / 3)|(x * 1) = (((-1) - (-2)) / 3)|x = (((-1) - (-2)) / 3)|x = (1 / 3)|x = [1/3]",22
100,124,"(1x + 2) = (-3)
","(1x + 2) = (-3)
|((1x + 2) - 2) = ((-3) - 2)|(1x + (2 - 2)) = ((-3) - 2)|(1x + 0) = ((-3) - 2)|(1x + 0) = (-5)|1x = (-5)|x = (-5)",10
101,125,"(-1) = ((2 / x) + (-3))
","(-1) = ((2 / x) + (-3))
|((-1) - (-3)) = (((2 / x) + (-3)) - (-3))|2 = (((2 / x) + (-3)) - (-3))|(2 / 2) = ((((2 / x) + (-3)) - (-3)) / 2)|((2 / 2) * x) = (((((2 / x) + (-3)) - (-3)) / 2) * x)|1x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = ((((2 / x) + ((-3) - (-3))) / 2) * x)|x = ((((2 / x) + 0) / 2) * x)|x = (((2 / x) / 2) * x)|x = (x * ((2 / x) / 2))|x = ((x * (2 / x)) / 2)|x = (((x * 2) / x) / 2)|x = ((2x / x) / 2)|x = ((2 * (x / x)) / 2)|x = ((2 * 1) / 2)|x = (2 / 2)|x = 1",37
102,126,"(1x + 2) = (-3x + (-4))
","(1x + 2) = (-3x + (-4))
|((1x + 2) - 2) = ((-3x + (-4)) - 2)|(1x + (2 - 2)) = ((-3x + (-4)) - 2)|(1x + (2 - 2)) = (((-4) + -3x) - 2)|((1x + (2 - 2)) - -3x) = ((((-4) + -3x) - 2) - -3x)|((1x + 0) - -3x) = ((((-4) + -3x) - 2) - -3x)|((1x + 0) - -3x) = ((((-4) + -3x) - -3x) - 2)|((1x + 0) - -3x) = (((-4) + (-3x - -3x)) - 2)|((1x + 0) - -3x) = (((-4) + 0) - 2)|((1x + 0) - -3x) = ((-4) - 2)|(1x - -3x) = ((-4) - 2)|((1 - (-3)) * x) = ((-4) - 2)|4x = ((-4) - 2)|(4x / 4) = (((-4) - 2) / 4)|((x * 4) / 4) = (((-4) - 2) / 4)|(x * (4 / 4)) = (((-4) - 2) / 4)|(x * 1) = (((-4) - 2) / 4)|x = (((-4) - 2) / 4)|x = ((-6) / 4)|x = ([-3/2])",33
103,127,"1 = (2x / 3)
","1 = (2x / 3)
|(2x / 3) = 1|((x * 2) / 3) = 1|(x * (2 / 3)) = 1|(x * [2/3]) = 1|((x * [2/3]) / [2/3]) = (1 / [2/3])|(x * ([2/3] / [2/3])) = (1 / [2/3])|(x * 1) = (1 / [2/3])|x = (1 / [2/3])|x = [3/2]",20
104,128,"(-1x + 2) = (3 + 4x)
","(-1x + 2) = (3 + 4x)
|((-1x + 2) - 2) = ((3 + 4x) - 2)|(((-1x + 2) - 2) - 4x) = (((3 + 4x) - 2) - 4x)|((-1x + (2 - 2)) - 4x) = (((3 + 4x) - 2) - 4x)|((-1x + 0) - 4x) = (((3 + 4x) - 2) - 4x)|((-1x + 0) - 4x) = (((4x + 3) - 2) - 4x)|((-1x + 0) - 4x) = ((4x + (3 - 2)) - 4x)|((-1x + 0) - 4x) = (((3 - 2) + 4x) - 4x)|((-1x + 0) - 4x) = ((3 - 2) + (4x - 4x))|((-1x + 0) - 4x) = ((3 - 2) + 0)|(-1x - 4x) = ((3 - 2) + 0)|(-1x - 4x) = (3 - 2)|(((-1) - 4) * x) = (3 - 2)|-5x = (3 - 2)|(x * (-5)) = (3 - 2)|(x * (-5)) = 1|((x * (-5)) / (-5)) = (1 / (-5))|(x * ((-5) / (-5))) = (1 / (-5))|(x * 1) = (1 / (-5))|x = (1 / (-5))|x = ([-1/5])",37
105,129,"1 = (2x - 3x)
","1 = (2x - 3x)
|1 = ((2 - 3) * x)|((2 - 3) * x) = 1|-1x = 1|(-1x * (-1)) = (1 * (-1))|((x * (-1)) * (-1)) = (1 * (-1))|(x * ((-1) * (-1))) = (1 * (-1))|(x * 1) = (1 * (-1))|x = (1 * (-1))|x = (-1)",21
106,130,"1 = ((-2) + ((-3) / x))
","1 = ((-2) + ((-3) / x))
|1 = (((-3) / x) + (-2))|(1 - (-2)) = ((((-3) / x) + (-2)) - (-2))|3 = ((((-3) / x) + (-2)) - (-2))|(3 / 3) = (((((-3) / x) + (-2)) - (-2)) / 3)|((3 / 3) * x) = ((((((-3) / x) + (-2)) - (-2)) / 3) * x)|1x = ((((((-3) / x) + (-2)) - (-2)) / 3) * x)|x = ((((((-3) / x) + (-2)) - (-2)) / 3) * x)|x = (((((-3) / x) + ((-2) - (-2))) / 3) * x)|x = (((((-3) / x) + 0) / 3) * x)|x = ((((-3) / x) / 3) * x)|x = (x * (((-3) / x) / 3))|x = ((x * ((-3) / x)) / 3)|x = (((x * (-3)) / x) / 3)|x = ((-3x / x) / 3)|x = (((-3) * (x / x)) / 3)|x = (((-3) * 1) / 3)|x = ((-3) / 3)|x = (-1)",38
107,131,"(1 - 2x) = -3x
","(1 - 2x) = -3x
|(1 + -2x) = -3x|((1 + -2x) - -2x) = (-3x - -2x)|((1 + -2x) - -2x) = (((-3) - (-2)) * x)|(((-3) - (-2)) * x) = ((1 + -2x) - -2x)|(((-3) - (-2)) * x) = (1 + (-2x - -2x))|(((-3) - (-2)) * x) = (1 + 0)|-1x = (1 + 0)|(x * (-1)) = (1 + 0)|(x * (-1)) = 1|((x * (-1)) / (-1)) = (1 / (-1))|(x * ((-1) / (-1))) = (1 / (-1))|(x * 1) = (1 / (-1))|x = (1 / (-1))|x = (-1)",26
108,132,"(1 + ((-2) / x)) = (-3)
","(1 + ((-2) / x)) = (-3)
|(((-2) / x) + 1) = (-3)|((((-2) / x) + 1) - 1) = ((-3) - 1)|((((-2) / x) + 1) - 1) = (-4)|(((((-2) / x) + 1) - 1) / (-4)) = ((-4) / (-4))|((((((-2) / x) + 1) - 1) / (-4)) * x) = (((-4) / (-4)) * x)|(((((-2) / x) + (1 - 1)) / (-4)) * x) = (((-4) / (-4)) * x)|(x * ((((-2) / x) + (1 - 1)) / (-4))) = (((-4) / (-4)) * x)|(x * ((((-2) / x) + 0) / (-4))) = (((-4) / (-4)) * x)|((x * (((-2) / x) + 0)) / (-4)) = (((-4) / (-4)) * x)|((x * ((-2) / x)) / (-4)) = (((-4) / (-4)) * x)|((x * ((-2) / x)) / (-4)) = 1x|(((x * (-2)) / x) / (-4)) = 1x|((-2x / x) / (-4)) = 1x|(((-2) * (x / x)) / (-4)) = 1x|(((-2) * (x / x)) / (-4)) = x|x = (((-2) * (x / x)) / (-4))|x = (((-2) * 1) / (-4))|x = ((-2) / (-4))|x = [1/2]",44
109,133,"x = ((1 + 2) / 3)
","x = ((1 + 2) / 3)
|x = (3 / 3)|x = 1",4
110,134,"(-1) = ((-2) + -3x)
","(-1) = ((-2) + -3x)
|((-1) - (-2)) = (((-2) + -3x) - (-2))|((-1) - (-2)) = ((-3x + (-2)) - (-2))|((-1) - (-2)) = (-3x + ((-2) - (-2)))|((-1) - (-2)) = ((x * (-3)) + ((-2) - (-2)))|(((-1) - (-2)) / (-3)) = (((x * (-3)) + ((-2) - (-2))) / (-3))|(((-1) - (-2)) / (-3)) = (((x * (-3)) + 0) / (-3))|(((-1) - (-2)) / (-3)) = ((x * (-3)) / (-3))|((x * (-3)) / (-3)) = (((-1) - (-2)) / (-3))|((x * (-3)) / (-3)) = (1 / (-3))|(x * ((-3) / (-3))) = (1 / (-3))|(x * 1) = (1 / (-3))|x = (1 / (-3))|x = ([-1/3])",21
111,135,"(1 + (2 / x)) = 3
","(1 + (2 / x)) = 3
|((2 / x) + 1) = 3|(((2 / x) + 1) - 1) = (3 - 1)|(((2 / x) + 1) - 1) = 2|((2 / x) + (1 - 1)) = 2|((2 / x) + 0) = 2|(2 / x) = 2|((2 / x) / 2) = (2 / 2)|(((2 / x) / 2) * x) = ((2 / 2) * x)|(((2 / x) / 2) * x) = 1x|(x * ((2 / x) / 2)) = 1x|((x * (2 / x)) / 2) = 1x|((x * (2 / x)) / 2) = x|x = ((x * (2 / x)) / 2)|x = (((x * 2) / x) / 2)|x = ((2x / x) / 2)|x = ((2 * (x / x)) / 2)|x = ((2 * 1) / 2)|x = (2 / 2)|x = 1",44
112,137,"((1 + 2x) + 3) = 4x
","((1 + 2x) + 3) = 4x
|(((1 + 2x) + 3) - 2x) = (4x - 2x)|(((1 + 2x) + 3) - 2x) = ((4 - 2) * x)|((3 + (1 + 2x)) - 2x) = ((4 - 2) * x)|(((3 + 1) + 2x) - 2x) = ((4 - 2) * x)|((4 - 2) * x) = (((3 + 1) + 2x) - 2x)|2x = (((3 + 1) + 2x) - 2x)|2x = ((3 + 1) + (2x - 2x))|2x = ((3 + 1) + 0)|(2x / 2) = (((3 + 1) + 0) / 2)|((x * 2) / 2) = (((3 + 1) + 0) / 2)|(x * (2 / 2)) = (((3 + 1) + 0) / 2)|(x * 1) = (((3 + 1) + 0) / 2)|x = (((3 + 1) + 0) / 2)|x = ((4 + 0) / 2)|x = (4 / 2)|x = 2",32
113,138,"(1 + 2x) = (3 + 4x)
","(1 + 2x) = (3 + 4x)
|((1 + 2x) - 2x) = ((3 + 4x) - 2x)|((3 + 4x) - 2x) = ((1 + 2x) - 2x)|((3 + 4x) - 2x) = (1 + (2x - 2x))|((3 + 4x) - 2x) = (1 + 0)|(3 + (4x - 2x)) = (1 + 0)|((4x - 2x) + 3) = (1 + 0)|(((4x - 2x) + 3) - 3) = ((1 + 0) - 3)|((((4 - 2) * x) + 3) - 3) = ((1 + 0) - 3)|((((4 - 2) * x) + 3) - 3) = (1 - 3)|(((4 - 2) * x) + (3 - 3)) = (1 - 3)|(((4 - 2) * x) + 0) = (1 - 3)|((4 - 2) * x) = (1 - 3)|2x = (1 - 3)|(x * 2) = (1 - 3)|(x * 2) = (-2)|((x * 2) / 2) = ((-2) / 2)|(x * (2 / 2)) = ((-2) / 2)|(x * 1) = ((-2) / 2)|x = ((-2) / 2)|x = (-1)",38
114,139,"1x = ((-2) - 3x)
","1x = ((-2) - 3x)
|1x = ((-2) + -3x)|(1x - -3x) = (((-2) + -3x) - -3x)|((1 - (-3)) * x) = (((-2) + -3x) - -3x)|4x = (((-2) + -3x) - -3x)|4x = ((-2) + (-3x - -3x))|(x * 4) = ((-2) + (-3x - -3x))|((x * 4) / 4) = (((-2) + (-3x - -3x)) / 4)|((x * 4) / 4) = (((-2) + 0) / 4)|(x * (4 / 4)) = (((-2) + 0) / 4)|(x * 1) = (((-2) + 0) / 4)|x = (((-2) + 0) / 4)|x = ((-2) / 4)|x = ([-1/2])",24
115,141,"(((-1) - 2x) + 3) = -4x
","(((-1) - 2x) + 3) = -4x
|(3 + ((-1) - 2x)) = -4x|((3 + (-1)) - 2x) = -4x|-4x = ((3 + (-1)) - 2x)|-4x = ((3 + (-1)) + -2x)|(-4x - -2x) = (((3 + (-1)) + -2x) - -2x)|(((-4) - (-2)) * x) = (((3 + (-1)) + -2x) - -2x)|(((-4) - (-2)) * x) = ((3 + (-1)) + (-2x - -2x))|(((-4) - (-2)) * x) = ((3 + (-1)) + 0)|-2x = ((3 + (-1)) + 0)|(x * (-2)) = ((3 + (-1)) + 0)|((x * (-2)) / (-2)) = (((3 + (-1)) + 0) / (-2))|(x * ((-2) / (-2))) = (((3 + (-1)) + 0) / (-2))|(x * 1) = (((3 + (-1)) + 0) / (-2))|x = (((3 + (-1)) + 0) / (-2))|x = ((2 + 0) / (-2))|x = (2 / (-2))|x = (-1)",35
